,曲名,歌詞
0,I Believe,君のもとへ　飛んでいきたいいつも側で　感じていたい瞳閉じて　君を映し出すあの日隣で見た　君の楽しそうな横顔をふと思い出す度に　僕は何故か急に切ないよきっといつかは　届いて欲しい　この気持ち今すぐに　抱きしめて　君だけを見ていたい止まった時間を取り戻すように…君と見た　景色は　何にも変えられないいつでも　想っているから気付かないふりして　いつも　高鳴る胸　抑えてた耳に残る君の　声が　悔しいほど愛しくてもう隠せない　素直に言える　心から今だけは寄り添って　君だけを感じたい繋いだ　その手を　離さないように…君がいる　季節は　何よりも輝いて優しく　包んでくれるからなんとなく目が合って照れ笑いする君の姿ずっと愛し続ける僕を信じて伝えたい想いが　言葉にならなくて弱きな自分に負けそうになるけど何気ない　笑顔に　勇気をもらえたからいつでも　側にいてほしいよ今すぐに　抱きしめて　君だけを見ていたい止まった時間を取り戻すように…君と見た　景色は　何にも変えられないいつでも　想っているから君のもとへ　飛んでいきたいいつも側で　感じていたい瞳閉じて　君を映し出す君のもとへ　飛んでいきたいいつも側で　感じていたい瞳閉じて　君を映し出す
0,Awakening,ドロだらけで追いかけたボールをただ必死にあのネットの向こうへと…夢中になって転んで　涙こらえ負けない強さを育んだ胸に秘めた想いが今　覚醒する時待ち続けた　あの笛が響き渡るこの瞬間(トキ)Wow wow　思い残すことはないからWow wow　走り出す　あの日のまま…この人生に誇れることがあるならたった1つに全て懸けてきた日々その未来に見える景色終わらせないこんなにも美しい地球(せかい)なら誰もがみな想像もしなかったような今に出逢うはずだろう　最後の1秒までWow wow　挑戦は終わらないからWow wow　解き放つ　想いのまま…熱い想いが今　この胸に届く時を超えて未知の世界へ誘(いざな)う誰も知らない夢の続きを必ずつかめると信じているから胸に秘めた想いが今　覚醒する時待ち続けた　あの笛が響き渡る瞬間(トキ)誰もがみな想像もしなかったような今に出逢うはずだろう　最後の1秒までWow wow　挑戦は終わらないからWow wow　解き放つ　想いのまま…
0,across,なにをそんなに悩むことがあるの?さえない顔の理由を聞かせてよ足りないものにただ溜め息ばかり　ついてみたところでなにも変わらないよいわれてみれば生まれた時もうすでに条件なんて違うものだからそれだけみれば確かに不公平さけど誰かと比べるよりないものばかり探すより他にできることがあると思うんだキミにしかないものがきっとあるよく考えてみて誰にもあるんだいつもなら気づかないその声が聴こえる時がある一つ間違えば　それだけで未来があることさえ見失ってしまうんだなにをしたいかまだ見えないだけさぼくらにもそのキモチがわかるからどんな小さなコトでもかまわない…いま出来ることからでいいまずは始めてみることさ歩き出せばなにか見えると思うんだ多くを望みすぎないでいまを越えていければいい誰にもあるんだ果てしないチカラがそこにはある逆手に取るんだやるせない思い　バネにしてキミの中に眠る可能性を呼び覚ませぼくらもおなじさ　いつだって越えなきゃならないのは　他人じゃないんだそうそれはきっと　誰よりもそんな自分自身といい聞かせてるんだその強さ　その弱さいつも隣あわせで　生きているけれどどちらも自分さ　負けないで惑わされたりしないでキミらしく在るために
0,あなたへ,今年の冬は　どんな季節だろうあの街は　どんなふうに見えるのだろうあの日渡した真っ白いセーター今もずっと胸に残るあの雪景色響け　Ding Dongチャイム　夜空へあの日に　恋に落ちてこの心はあなたをずっと待っていた今年もひとつ　年を重ねてまたひとつ愛を知って恋が終わっていく…響け　Ring Dong チャイム　あなたに今でも僕の中でこの想いを抱きしめ　春を待っていよう傷つくことで　失くしたものを探すことはもうやめよう二人が出会えた奇跡ほら幸せが溢れていくよ冬の空に願うよ運命がつながるようにそう信じていたくて想いが溢れる響け　Ding Dongチャイム　夜空へあの日に　恋に落ちてこの心はあなたをずっと待っていた今年の冬は　どんな季節だろうあの街は　どんなふうに見えるのだろう
0,あの空の星のように…,あの空に浮かぶ　星たちのように誰もが　輝いていたいどんなに厚い　雲におおわれたって絶対輝いていよう君の笑顔が　消えないようにそっとそばで　照らし続ける…ほら　見えるだろうあの空の　無数の星は僕たちの希望と　愛の数だと信じていよう　いつまでも…暗闇に浮かぶ　ろうそくの火のように優しく光を灯してたいひとつの炎を　いくつ分けあっても決してなくならないように無限の愛が　広がっていく今ここから　果てしなく今見えるだろうこの闇の　かすかな光僕たちの夢と　愛の強さで広げてゆこう　どこまでも…限られた時間の中　願うことはあきらめたり　しちゃいけないいつかこの命が　 星に変わる日に美しく輝けるようにほら　見えるだろうあの空の無数の星は僕たちの希望と　愛の数だと信じていよう　いつまでも…今見えるから　その胸の溢れる想い僕たちの愛と　優しい気持ちで広げてゆこう　いつまでも…どこまでも…
0,AMAZING WORLD,今　目の前に映る命の泉それは宇宙からの贈り物真っ暗闇の中に浮かぶたった一つの　光を信じることができたなら始まるはずの brand new day僕らがとらわれているその概念を脱ぎ捨てたなら全てを拭いさり今　過去という未来への旅立ちが…Let's get it started...この世界が始まったあの日僕たちは　何を夢見ていた？この世界はどんな目的でどんな想いで　生まれたのだろう争い…　憎しみ…奪い合い…　傷つけ合い…想い合い…　愛し合い…新しい世界を　作り出そうHu...　目を開くその瞬間Hu...　真実が見えるはずさ恐れずに見つめよう何が大切なのか今広がってくAMAZING WORLD物語が始まったあの日どんな終わりを　描いていた？物語が終わったその時どんな想いで　涙流す？絶望…？　失望…？悲しみ…？　苦しみ…？喜び…？　慈しみ…？さぁもう一度　描き始めようHu...　いつも僕らを待っているHu...　計り知れない　答えが時空さえ超えてゆく想いが愛だと知る全てを変えてくAMAZING WORLD今　目の前に映る命の泉それは宇宙からの贈り物Hu...　目を開くその瞬間Hu...　真実が見えるはずさHu...　いつも僕らを待っているHu...　計り知れない　答えが時空さえ超えてゆく想いが愛だと知る全てを変えてくAMAZING WORLD今広がってくAMAZING WORLD今　目の前に広がる笑顔の泉それは宇宙からの贈り物真っ暗闇の中に浮かぶたった一粒の　涙を優しく拭う　その指が感じる悲しみは Oh my love誰かが問いかけているこの世界中の苦しみさえいつかは晴れわたり幸せが溢れ出すだろう…
0,A leaf ～螺旋状のサヨナラ～,街角に舞い落ちる一枚の枯葉できるだけゆっくりとサヨナラを告げる二人は抱きしめ合ったまま互いの肩越しに未来　見てたいつか君と会える日まで僕は風に吹かれ違う道　旅してるだろう同じ枝に育った愛失った後で大切な絆　気づく悲しみは少しずつ思い出に変わり空っぽのこの胸に芽吹くのさ　It's a hope.やさしい言葉は無力だね最後のキスの方がわかり合えるいつか君と会える日まで僕は孤独を知り木漏れ日を探すのだろうすれ違ったその季節はきっと　今よりも君のこと　想うために…いつか君と会える日まで僕は風に吹かれ違う道　旅してるだろう同じ枝に育った愛失った後でもう一度螺旋状に舞い落ちてく君と僕の時間この腕を離したくない誰が悪いわけでもなく二人が選んだ生き方を信じようよ
0,Unlimited,まだいけるさ!　そうだろ?　自分に聞いた鏡に映る　少し疲れた顔…「らしくないね」　誰もが　口をそろえた本当のことは　今も良く解らない…だから　まだ歩けない　走り続けてなければ大事な事　失いそうで　振り返る暇もないいつまでも　いつまででも限りない　世界を見ていたい悲しい事も　すぐに忘れる!いつまでも　変わる事なく真っすぐな　自分でいたいなら自分勝手でもいいんじゃない!もうダメかな?　時々　くずれそうになるそんな自分に　本当は甘えてる胸に　溜まった涙は　吐き出してしまえばいいそんな自分に　向き合えたら　もっと強くなれるよ!どこまでも　どこまででも果てしない　未来を見ていたい苦しい日々　続いても笑う!届きそうで　届かないあの海　越えたら見えない何かがつかめるはずさ!ほんの少しの可能性?　叶うよ!信じていれば　両手を広げ　空へいつまでも　いつまででも限りない　世界を見ていたい悲しい事も　すぐに忘れる!いつまでも　変わる事なく真っすぐな　自分でいたいなら自分勝手でもいいんじゃない!
0,YES!,YES! I'll just try it always. Anytime yeah!We say WOW WOW…あの日の失望が　僕を強くしてくれてるよあの時の涙が　今を潤してくれるからたとえ今が少しくらいつらかったとしてもきっとプラスになる　信じて進むよYES! I'll just try it always.最高の未来のためにYES! We can fly to the sky wherever自分の手で明日をつかみとれ!明日の約束が　急にダメになったとしてもいつでも自分らしくいれるそんな理想の自分誰といても　どこにいても　プレッシャーはねのけ人に優しくありたい　信念もってYES! I'll just try it always.最高の自分のためにYES! We can fly to the sky wherever.どんなときも輝く自分でいようYES! I'll just try it always.最高の未来のためにYES! We can fly to the sky wherever自分の手で明日をつかみとれ!YES! I'll just try it always.最高の自分のためにYES! We can fly to the sky wherever.どんなときも輝く自分でいよう
0,YELLOW HAPPINESS,Yellow Yellow HappinessYellow Yellow Happiness近頃の窮屈にやられて自然とメンタル　ダメになって落ち込んだアイツも　すぐチャージが必要いつもの陽気なSquad(仲間)でかなり Heavy Heavy Heavyニュースに Dizzy Dizzy Dizzy今時ハイタッチよりカンパイ　憂さ晴らし何千マイルの距離もお国も性別の壁も軽々と超えていこうキミが笑顔になれば Yellow Happiness一緒に歌えたら　毎日が Happy DaysUh Say LA LA LA LA LA LAOH NA NA NA NA NA NA世界中に広がる Yellow HappinessForever　同じ空の下に孤独はないForever　ハッピー分け合えたらもう1人じゃないForever週末は休まず仕事して自転車走らせ家についてタイヤはボロボロ　マジメもほどほど弾けたい気持ち止めないで食べて Yummy Yummy Yummy遊んで Yuppy Yuppy Yuppy肩の力抜いて息を吸って　それでOKたまには適度に適当　そう！やる時やるのがベスト人生一回楽しもうぜキミが笑顔になれば Yellow Happiness一緒に歌えたら　毎日がHappy DaysUh Say LA LA LA LA LA LAOH NA NA NA NA NA NA世界中に広がる Yellow HappinessForeverYellow Yellow HappinessYellow Yellow Happinessキミが笑顔になれば Yellow Happiness一緒に歌えたら　毎日が Happy DaysUh Say LA LA LA LA LA LAOH NA NA NA NA NA NA世界中に広がる Yellow HappinessForever　同じ空の下に孤独はないForever　ハッピー分け合えたらもう1人じゃないForever
0,EXIT,誰にも目指しているゴールがある初めて会う　新しい自分You'll find the exit.　悩んでも…You'll find your true love.　つらくても…You'll find the exit.　あきらめない…You'll find a big dream.　いつの日か…人の群れに流されてるだれもかれも同じ顔で今いる場所さえわからなくなるそっと　瞳閉じてみればきっと　風を感じるだろう今日から明日へ流れてる時間(とき)もしも　君が道を見失ったら風のEXIT　探せば…ほら誰にも目指しているゴールがある古い地図は役に立たないのさ孤独の向こう側で待っているんだ初めて会う　新しい自分You'll find the exit.　あきらめない…You'll find a big dream.　いつの日か…迷い込んだ愛のない街風は　どこへ吹くのだろう未来は必ずそばで眠るもしも　君が悲しみに遭ったら風のEXIT　探せば…ほら誰にも向かってる行き先がある知らず知らずに　歩き出してるのさいつでもどこにいてもリセットできる耳を澄ませば　自分の声がする誰にも目指しているゴールがある古い地図は役に立たないのさ孤独の向こう側で待っているんだ初めて会う　新しい自分You'll find the exit.　悩んでも…You'll find your true love.　つらくても…You'll find the exit.　あきらめない…You'll find a big dream.　いつの日か…
0,以心伝心,ボクは 安らぎを 求めてたんだろうそれは 君と出会った事なのかわかりあえた事なのか 違うよ それは違うと思うんだボクが 心を開いた事 それが一番大切… 大切今何してるの？ ボクは歌ってるよ君のために ボクらのために 僕は歌っているよこの思いが 届くのならば遠くから ボクだけを いつも 見守ってて下さいボクは 安らぎを 求めてたんだろうそれは 君が包んでくれたから喜んでくれたから それはね それでいいと思うんだ君が 心を開いた事 それが一番大切… 大切なにが遠距離だ こんなの近いじゃんかボクは別に へっちゃらさ なんともないさただひとつ 心配なのは遠くだから 逢えないから ただツライだけなんだよ今何してるの？ 僕は歌ってるよ君のために 僕らのために 僕は歌っているよこの思いが 届くのならば遠くから ボクだけを いつも 見守ってて下さい遠くだから 逢えないから ただつらいだけなんだよ遠くから ボクだけを いつも 見守ってて下さい。
0,命の花,今のあなたの力になるために何をすべきだろう押し寄せてくる不安や恐怖に立ちすくんでいるなすすべもない現実に自分の無力さを思い知らされ流れてるその涙さえもぬぐえない悔しさに震える離れてても会えなくても心で繋がると信じてまた明日にまた未来に恵みのような光を与えてくれる絆が…あたりまえだと満ち足りてたものを失ったときに忘れかけてた大切なことに救われ生きてる優しさや思いやる気持ちに意味や答えだけを求めないでこれからを築いてゆくには大きな愛を感じ合うこと誰もが皆願いを今手と手をとりあい生きてゆくこの命が遥か遠くこの風に乗りいつの日か誰かのために…花咲く涙も枯れ果てた孤独な夜に負けないでいて鼓動は強く鳴り響いて離れてても会えなくても心で繋がると信じてまた明日にまた未来に恵みのような光を与えてくれる絆が…
0,イノチの理由,ずっとずっと　その笑顔を絶やさずにいてほしいきっとそれが勇気になる明日を守るためのThat's why to beぼくらはなぜ生まれたのか？ぼくらはなぜ愛するのか？なんとなくね、近頃ふと考えてたりするしあわせは笑顔の数だけあるんだ…キミを見ていると　心からそう思うかげりのない　その笑顔がぼくに伝えてくれるめぐる時を　つなぐために生まれてきたんだとThat's why to beわけあうこと忘れないでゆるすことを怖れないでたやすいことじゃないけれどきっとできるはずカナシミが時にヒカリ奪うけれど決して逃げないで　越えてゆけるからそうさ、人の心なんて思うほど弱くないそんな風に　くりかえして強く生まれ変わるThat's why to be誰の手も生きる希望は消せないよ信じることからすべて始まるさひとつひとつ　ぼくらのユメ優しさで集めたら永遠にも届きそうなそんな気がするからThat's why to beかげりのない　その笑顔がぼくに伝えてくれるめぐる時を　つなぐために生まれてきたんだとThat's why to be
0,If ～I know～,"言葉にならないほどにただ君を好きだったよでも夢を捨てられず選んだ道をとぎれとぎれに彷徨ってるカタチのない思いさえ何かに表そうとしてたそんなことしなくてもいいよ　君は少し笑って我慢してたあの日もし違う答えを選んでいたとしても心の中の本当の気持ちに僕は嘘つけなくてOh, forgive me babyずっとあなたのそばでそっと手を握りしめ一緒にいた日々を忘れないいまはこころの奥に想いをしまい込んだらI Know, I Know, I Know歩き出すよ君が進むべき道をただ見つめるこんな僕あの言葉が本当に正しかったのか眠れない日が続いてゆくでも今は今を信じて進んでいくしかないんだ君についた嘘もいつの日にかきっと報われるかなPlease, forget me babyいつか夢をかなえてもしも君のところへ戻ることが出来ても遅すぎてもっと強い言葉で僕を責めていいからI Know, I Know, I Knowわかってるよああ、今になってもしもなんてそんなこと言えないからだけど本当に本当に好きだったよその気持ちに嘘はないよいつの日にか…ずっとあなたのそばでそっと手を握りしめ一緒にいた日々を忘れないいまはこころの奥に想いをしまい込んだらI Know, I Know, I Know歩き出すよ"
0,Eastern Boyz'N Eastern Girlz,"You know what? You know what?嵐を呼び出す魂たかが6人されどアジアのプライドこの世界に壁など無いと伝わる日がくるまで踊る付いて来てるならさあ Clap ya handsEastern boyz,'N Eastern girlzAh, ah let's go傷が絶えないサムライ達何度倒れてもまた立ち上がって生き抜いていく soldiers守るものが有るからこそ強くなれるSo, everybodyEverybody, don't you worrySay what? EXILE!いつでも側にいるからYeah, yeah.........Don't give up 辿り着けるさ誇らしく美しく Asian folksYou know what? You know what?嵐を呼び出す魂たかが6人されどアジアのプライドこの世界に壁など無いと伝わる日がくるまで踊る付いて来てるならさあ Clap ya handsEastern boyz,'N Eastern girlzWhoaGet crunk!!!!!立ち止まるなよ No無駄にするなよ Time, baby流す物は涙の代わりにnegativitySo everybodyKeep it tightSay what? EXILE!まだ先を目指しているのならDon't give upこの声を聞き逃すなよHey, Asian folksYou know what? You know what?嵐を呼び出す魂たかが6人されどアジアのプライドこの世界に壁など無いと伝わる日がくるまで踊る付いて来てるならさあ Clap ya handsEastern boyz,'N Eastern girlz天に昇り詰めていく青龍に陰を重ねて乗り越えるBe more like あるがままにさらけ出す姿The land of the rising sunここから生まれるOh,. ah let's goEastern boyz,'N Eastern girlz黒い瞳に深く映し出すtruth歌うのは大和のRhythm & BluesLadiesを見よ　皆淑女のようFellasを見よ　皆まるで刀のようThat's the OrientalismYou know what? You know what?嵐を呼び出す魂たかが6人されどアジアのプライドこの世界に壁など無いと伝わる日がくるまで踊る付いて来てるならさあ Clap ya handsEastern boyz,'N Eastern girlzYou know what? You know what?嵐を呼び出す魂たかが6人されどアジアのプライドこの世界に壁など無いと伝わる日がくるまで踊る付いて来てるならさあ Clap ya handsEastern boyz,'N Eastern girlz"
